	artist_name	song_title	lyrics
0	yg	10 TIMES by YG	['ten time harder real nigga', 'ten time harder real nigga', 'ten time harder real nigga', 'ten time harder real nigga', 'ten time harder', 'fuck DA fuck P', 'fuck presid fuck Po po', 'follow wanna keep close', 'tri hold back let go', 'sip drank sip drank', 'pick phone call michel', 'hold gotta make play', 'play not get made not okay', 'look eye tell see', 'whole lotta live depend', 'hold hold', 'check not town', 'put smile girl put smile', 'lot shoulder gotta balanc', 'put smile girl put smile', 'take care child', 'harder real nigga hey', 'ten time harder real nigga', 'ten time harder real nigga', 'ten time harder real nigga', 'ten time harder', 'gotta go courthous', 'judg not give fuck oww', 'fingerprint evid', 'fuck ama', 'hold tight hold close', 'lifestyl got', 'fuck let us make toast', 'lord keep us aliv never take soul', 'prayin prayin', 'thi must cannot sleep stay', 'pop told chang chang gonna say chang', 'everybodi depend', 'got nobodi run', 'got nobodi come final come feel like fuck', 'harder real nigga hey', 'ten time harder real nigga', 'ten time harder real nigga', 'ten time harder real nigga', 'ten time harder', 'lord lord pleas pleas give give us life gimm life need life need pleas pleas lord']
1	yg	1 AM by YG	['YG alright come whoop nigga Im right nigga', 'bang line know', 'unnam caller Fo sho alright', 'wa mornin wa yawnin', 'mom ask go hood not knowin', 'pop lock mama could not stop', 'wa hous asap rocki', 'wa not caus could not control us', 'wa babi want hold us', 'not get disciplin friend start whisperin', 'wa bad mama mama said fuck em', 'wa street stylin nobodi could tell noth', 'grandpa grandma not aunti favorit cousin', 'wa buzzin', 'fuckin hoe wear no condom no noth', 'use ditch school homi chevi', 'use sneak smoke stress weed', 'rollin dub', 'feel whoopti woop nigga', 'rollin dub', 'feel whoopti woop nigga', 'hoe showin love', 'feel whoopti woop nigga', 'hoe showin love', 'feel whoopti woop nigga', 'skkkrrrt wa mission', 'mission money sun till sunni', 'know famili love', 'ridin car two nigga pistol', 'thi not funni money hold', 'slowli pull donut stand alreadi know plan', 'hop get man take got', 'Go pocket wallet sock dig knot', 'stick phone ring mama', 'middl drama not pick', 'think gotta get shit gotta pick bitch', 'let us hurri leav feel polic near us', 'left thousand dollar cash', 'wa nigga know went half', 'shit get real nigga get greedi', 'pop pop pop pow leav']
2	yg	2015 Flow by YG	['thi silicon valley flow', 'got sun danc vision nigga not know', 'got damn got album year still', 'plaqu imagin wack rapper feel', 'killin nigga year', 'bill white folk name got someth common', 'bill got em rich hous rich hill', 'homi got tommi know someth feel', 'look though realli hook though', 'fam straight homi got money book though', 'late bitch trippin', 'like bitch studio let cook though', 'RJ killin shit homi killin shit', 'tryna convinc em drug dealin shit', 'cannot blame em caus mama not give shit', 'front work told em nigga get rich', 'get rich get rich get rich', 'mama final get hustl hard get rich', 'late solo shit', 'cortez long sock cholo shit', 'bitch keep trippin ama let bygon bygon', 'walk hous high nine like Hi mom', 'right back nigga shit', 'like fuckin suckin shit let us flip thi bitch', 'let us flip pound send town bust', 'no respect hoe wa not fuckin fuckin', 'bust bust bust', 'profit bust', 'send plan ama figur execut', 'manag like hold YG like not waitin', 'flow', 'kill not gettin dough', 'hold keep win keep win keep win', 'gotta speak exist nigga keep win', 'said dre made billion', 'like shit', 'fuckin hi name babi mama', 'pussi loos wall broke not got no ceil', 'wa like YG not go', 'said bitch think silkk shocker got no limit', 'fuck nigga not livin talkin bout', 'even million dollar still spark', 'fuck nigga fuck nigga fuck nigga', 'wa not shootin gym fuck nigga', 'ruff rydin dog', 'nigga fuck bitch paw', 'nigga', 'front porch sellin sack nigga']
3	yg	459 by YG (Ft. Natasha Mosley)	['not no tellin go rollin west side', 'homi rollin sun rise', 'not want fuck get', 'get no sleep bompton life', 'not want get got nigga', 'get livin dealin bompton life', 'wa plottin batman robin', 'pop wa jail wa poppin', 'wa homi wa bitch', 'wa thinkin love wa thinkin rich', 'everyth got took flatscreen notebook', 'even paint wa artist make', 'use chopper jewelri box loafer made prada', 'pawn shop like got need', 'grind shine greedi', 'not know wa anoth robberi', 'Uh club fat head', 'neighbor saw us got ghost like pac man', 'cop comin runnin', 'thuggin bird come duckin', 'hopin not shoot', 'onli get onc chanc make top takin shot like hoop', 'hit wall hit corner yard roof top', 'like fuck finna get caught hurri toss ooh wa', 'freedom chang situat', 'fuck polic handcuff irritatin', 'wonder mom gon say', 'lock send mile away take day day', 'make express share relat', 'catchin case catchin fade', 'wa counti makin play', 'wa countri duckin fade', 'got stripe took live learn lesson', 'let jail wa two steppin', 'alright okay', 'roll thi way', 'east side west side bompton gang', 'still function not care', 'gotta respect struggl', 'understand hustl', 'noth G thang babi', 'noth G thang babi', '']
4	yg	666 by YG (Ft. YoungBoy Never Broke Again)	['Uh', 'star roof sittin wraith', 'got bar man thi shit kinda crazi', 'wildin young nigga late', 'fuckin pretti bitch man thi shit kinda crazi', 'bless brazi lifestyl much ladi', 'player shit hoop nigga not make', 'not reason pullin latest', 'westsid nigga ho not need no favor', 'ayi damn thi beat got bass', 'everyth bad right face', 'fo block', 'gun waist like tryna catch case', 'move bitch nigga need littl space', 'stank look face much drug drank', 'bein haunt bout past someon help get away damn', 'think buy drug drank', 'move bitch nigga need littl space uh huh', 'not tell ama okay ecaus thi shit not okay uh uh', 'give fuck bout think bitch fuck think fuck bitch', 'not come judgin ecaus much drug drank', 'not mood bitch not come insid gate', 'trepassin bastard shoot face', 'run past bad whole life feel like maze', 'drinkin life away cannot stop go crazi', 'drunk drivin G wagon tell not safe', 'drunk drivin G wagon', 'get squar ass face', 'homi got wraith wraith', 'Po Po brought name name', 'know gang thi shit rang', 'thi shit fuckin rang bitch', 'not plannin chang bitch', 'go field pain bitch', 'hunnid gang click clack bang bitch', 'haunt demon yeah see em walk walk', 'know got devil thought thought', 'seein devil live room hall hall', 'hope not got devil littl heart thi shit real', 'ayi damn thi beat got bass', 'everyth bad right face', 'fo block', 'gun waist like tryna catch case', 'move bitch nigga need littl space', 'stank look face much drug drank', 'bein haunt bout past someon help get away damn', 'think buy drug drank', 'move bitch nigga need littl space', 'not tell ama okay ecaus thi shit not okay', 'give fuck bout think bitch fuck think', 'not come judgin ecaus much drug drank', 'pull', 'pull hundr pocket bitch skrrt', 'fresh slammer lil nigga cocki shit', 'play like jit get hit', 'not stoppin shit grrah rrah', 'tell pull', 'make train ride lobbi bitch lobbi', 'move bitch get shot face bitch', 'nigga round hate tryna figur made damn', 'cannot make hous not buzz gate beep', 'secur bout gang bitch gotta play safe', 'plenti rack safe shit rack', 'check get mate bitch', 'five blood blatt strictli L shit', 'quick shooter shit without dope young nigga rich', 'challeng risk', 'bust dome bitch boo bow', 'ayi damn thi beat got bass', 'everyth bad right face', 'fo block', 'gun waist like tryna catch case', 'move bitch nigga need littl space', 'stank look face much drug drank', 'bein haunt bout past someon help get away damn', 'think buy drug drank', 'move bitch nigga need littl space', 'not tell ama okay ecaus thi shit not okay', 'give fuck bout think bitch fuck think', 'not come judgin ecaus much drug drank', 'lord help lord kid lord play gun drug remind wa young see not play shit wa crack babi No lord not no hypocrit old motherfuck tryna save shit lord ask son whi thug hang look said pop stay danger help lord tri tell mani way stay danger power danger knowledg danger dollar danger look lord said pop talk danger']
5	nipsey hussle	10 Toes by Nipsey Hussle	['toe chuck ts', 'come', 'still get money bitch', 'love nigga scream fuck', 'beauti disgust', 'figur nigga wa not', 'nigga', 'shit hit fan see nigga', 'heard miseri love compani', 'no lie get lone top', 'chanc drop not tri', 'not judg know whi', 'not shoot fli', 'road rich', 'whole grip nigga wreck car not rise fuck', 'call hoe roll thi weed', 'turn light pour thi drink', 'last shit sold bout reup', 'tat neck face chest sleev', 'car world like foreign featur', 'get show featur', 'hood beach', 'game bleacher', 'see lane shit speak', 'stand motiv peopl', 'ocean blue rang nico', 'drink champagn probabl clicquot', 'bossa nova probabl eat bro', 'got coupl zone gon probabl need', 'gon probabl need', 'first let us eat bro', 'order steak rice anoth earli morn anoth late night', 'day week ever get sleep', 'life oh get money', 'take flight go full throttl no brake light', 'make bad bitch wanna play nice', 'broke nigga wanna hate life', 'Yo bad']
6	nipsey hussle	1 of 1 by Nipsey Hussle (Ft. BH)	['', 'came get money got', 'hate nigga stop', 'throw pussi never caught', 'ask whi not got much mileag ooh', 'look ooh', 'show thi shit done ooh', 'chain look like weigh ton ooh', 'bitch look becom', '', 'make grip walk insid thi shit take pick', 'take shit fake nigga drop shit run shit', 'shit shit', 'shit owner shit mo shit', 'pay rent pay team', 'make rich make rich not shit', 'watch thi look', 'cash money fame', 'realest nigga thi fuck game', 'came corner grind', 'make cracker nigga respect mind', 'run shit shit', 'shit shit owner shit', 'rang rover shit', 'came slice bread loaf shit', 'get nigga feet sofa shit', '', 'talk shit caus live nigga', 'not know caus nigga', 'get smart get richer nigga', 'start hate chip nigga', 'specif west side neighborhood', 'crenshaw district slauson ave crip', 'anybodi kill not give fuck bitch nigga yeah', 'quot rap like scriptur say shop like hipster', 'drive car like rich nigga', 'probabl pull ho', 'Oh six two os fasho get dough', 'pull show bank roll', 'make mill lay low', 'bust whip chang cloth money power hoe', '', 'pint grand rack', 'bring money want want nigga', 'Im man not understand come get ittt', 'pack loud like like fuck band', 'big chopper like taliban', 'rack break rubberband count', 'love hater biggest fan love nigga', 'Im field stand', 'let em watch make play', 'touchdown face someth hate', 'block yeah get thi money', 'OG roll swisher', 'thi pour sprite', 'littl bitch know bad got ass wanna fuck', '']
7	nipsey hussle	4 In The Mornin by Nipsey Hussle	['morn shit', 'thi red bull', 'got head full', 'nigga stress let us get thi bed full', 'sexual heal appeal', 'bad bitch real nigga', 'tell love', 'tell', 'fuck shame', 'runnin game', 'want pleasur', 'want pain', 'want want', 'let us take flight let us live thi life', 'let us get hotel let us spend night', 'busi nigga busi girl', 'fast life liven thi busi world', 'fast car not no fast broad', 'got yo heart broke yo ass wrong', 'plu yo dad gone let yo daddi', 'wanna see happi come broken famili', 'tell truth amma tell', 'gon smoke thi weed til kick us room', 'like fuck life', 'fuckin tonight fuckin right', 'fuckin right', 'not goon lie know fli', 'nah fuck girl sky', 'ocean cloud bird bee', 'friend proud know fuckin', 'got poppin take shoppin', 'around world start slauson', 'real shit real shit', 'know real bitch feel thi', 'morn tell want', 'bend got moan', 'love thi shit want thi shit', 'got thi shit no polit', 'smoke someth', 'like pour drink', 'get got mine', 'thi real shit', 'sittin top floor fli ass hotel drunk fuck bad bitch', 'make appreci life', 'nigga work hard know', 'day week thi shit', '', 'gone shit play thi', 'not trippin shit not no rule thi', 'fuck em though', 'hussl']
8	nipsey hussle	50 Niggaz by Nipsey Hussle	['young nigga sellin crack livin', 'tryin buy benz flat televis', 'singl incom tire feelin', 'momma man gotta show meant', 'cold ass world gotta show em get', 'watch good lil boy turn cold nigga', 'readi die show em wit', 'put hi mind gotta get live', 'one shot got life zimmerman got acquit', 'talkin bout carjackin talkin bout killin', 'wonder whi never faith system', 'look young nigga like wast exist', 'make look tri twist', 'becom world champ enlist us', 'get rich rap search us pistol', 'like not no respect til burn build', 'could accept murder children', 'would accept murder children', 'would accept murder children', 'would accept murder children', 'young nigga sellin crack livin', 'tryin buy benz flat televis', 'singl incom tire feelin', 'momma man gotta show meant', 'cold ass world gotta show em get', 'watch good lil boy turn cold nigga', 'readi die show em wit', 'put hi mind gotta get live', 'petey whack got life zimmerman got acquit', 'talkin bout gun case talkin bout killin']
9	nipsey hussle	6 Inch Heels by Nipsey Hussle (Ft. June Summers)	['No punch', 'bounc back everi loss like real nigga', 'handl busi like man ill make deal', 'loyalti loyalti keep real', 'go war Im gonna kill', 'marri street ask whi Im still', 'ask thi obviou Im field nigga', 'around corner dozen nigga still trip', 'theyll still kill still slip', 'look put curtain rear wind shield', 'bitch bad wrist chill', 'bitch bad man bitch got skill', 'rock inch heel', 'excedrin thi sick ass world', 'probabl make stray bitch toe curl', 'use rich nigga retail', 'money onli fetish rich ass self', 'hussl know yall hate wish yall well', 'Im eat steak crack crip leg shell', 'Im get cake let champagn spill', 'either particip bitch ass fail nigga', 'Im look world rose color glass', 'could chase thi dream no catch', 'toe Im chea look back got', 'caus even slept gutter stare sky', 'young nigga fuck bitch get dope money', 'gold chain rope money', 'wa everi man wa broke bumi', 'make happen nigga act like owe someth', 'nigga wanna let know someth', 'clock tick gotta get devot someth', 'transit legitim flow', 'given folk come', 'look knew nigga wa killer hoe love', 'wa get money till killer told', 'whole citi busi wa known', 'string bank robberi wa beast whole summer', 'aint no hall fame dont love', 'aint no arena hang jersey old number', 'gotta get get make', 'beat odd grow look', 'let get straight nigga fake', 'noth though get cake', 'morn earli night late', 'dollar sign licens plate', 'yall nigga struggl life great', 'freestyl life write fate', 'play win caus life game', 'put thi music life chang', 'told show', 'cold lone road gotta go self', 'medit caus knew know', 'said benz owe', 'worldwid recognit flow known', 'state pay show face', 'bottl bottl empti case', 'hip hop empti safe']
